watt_hours,Time,Alias,max_Wh_at_time,wasted_energy,ratio_of_waste,charge_multiplier,forecasted_charge
0.0,2023-10-13 19:00:00,IY-013,464.0,464.0,1.0,2.0,1121.6347826086956
0.0,2023-10-13 20:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-13 21:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-13 22:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-13 23:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-14 00:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-14 01:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-14 02:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-14 03:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-14 04:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-14 05:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-14 06:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-14 07:00:00,IY-013,335.0,335.0,1.0,2.0,1121.6347826086956
0.0,2023-10-14 08:00:00,IY-013,284.0,284.0,1.0,2.0,1121.6347826086956
0.0,2023-10-14 09:00:00,IY-013,356.0,356.0,1.0,2.0,1121.6347826086956
11.0,2023-10-14 10:00:00,IY-013,344.0,333.0,0.9680232558139537,1.97,1104.8102608695651
6.0,2023-10-14 11:00:00,IY-013,396.0,390.0,0.9848484848484848,1.98,1110.4184347826085
93.0,2023-10-14 12:00:00,IY-013,458.0,365.0,0.7969432314410481,1.8,1009.471304347826
169.0,2023-10-14 13:00:00,IY-013,472.0,303.0,0.6419491525423728,1.64,919.7405217391303
167.0,2023-10-14 14:00:00,IY-013,458.0,291.0,0.6353711790393013,1.64,919.7405217391303
105.0,2023-10-14 15:00:00,IY-013,470.0,365.0,0.776595744680851,1.78,998.254956521739
246.0,2023-10-14 16:00:00,IY-013,461.0,215.0,0.4663774403470715,1.47,824.4015652173912
262.0,2023-10-14 17:00:00,IY-013,457.0,195.0,0.4266958424507658,1.43,801.9688695652173
180.0,2023-10-14 18:00:00,IY-013,455.0,275.0,0.6043956043956044,1.6,897.3078260869565
183.0,2023-10-14 19:00:00,IY-013,464.0,281.0,0.6056034482758621,1.61,902.9159999999999
177.0,2023-10-14 20:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
178.0,2023-10-14 21:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
175.0,2023-10-14 22:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
262.0,2023-10-14 23:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
277.0,2023-10-15 00:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
273.0,2023-10-15 01:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
99.0,2023-10-15 02:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-15 03:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-15 04:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-15 05:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-15 06:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
0.0,2023-10-15 07:00:00,IY-013,335.0,335.0,1.0,2.0,1121.6347826086956
0.0,2023-10-15 08:00:00,IY-013,284.0,284.0,1.0,2.0,1121.6347826086956
3.0,2023-10-15 09:00:00,IY-013,356.0,353.0,0.9915730337078652,1.99,1116.0266086956522
0.0,2023-10-15 10:00:00,IY-013,344.0,344.0,1.0,2.0,1121.6347826086956
22.0,2023-10-15 11:00:00,IY-013,396.0,374.0,0.9444444444444444,1.94,1087.9857391304347
31.0,2023-10-15 12:00:00,IY-013,458.0,427.0,0.9323144104803494,1.93,1082.3775652173913
0.0,2023-10-15 13:00:00,IY-013,472.0,472.0,1.0,2.0,1121.6347826086956
0.0,2023-10-15 14:00:00,IY-013,458.0,458.0,1.0,2.0,1121.6347826086956
0.0,2023-10-15 15:00:00,IY-013,470.0,470.0,1.0,2.0,1121.6347826086956
122.0,2023-10-15 16:00:00,IY-013,461.0,339.0,0.735357917570499,1.74,975.8222608695652
280.0,2023-10-15 17:00:00,IY-013,457.0,177.0,0.387308533916849,1.39,779.5361739130434
265.0,2023-10-15 18:00:00,IY-013,455.0,190.0,0.4175824175824176,1.42,796.3606956521738
284.0,2023-10-15 19:00:00,IY-013,464.0,180.0,0.3879310344827586,1.39,779.5361739130434
288.0,2023-10-15 20:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
257.0,2023-10-15 21:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
46.0,2023-10-15 22:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
7.0,2023-10-15 23:00:00,IY-013,0.0,0.0,,1.0,560.8173913043478
