watt_hours,Time,Alias,max_Wh_at_time,wasted_energy,ratio_of_waste,charge_multiplier,forecasted_charge
0,2023-11-01 00:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-01 01:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-01 02:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-01 03:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-01 04:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-01 05:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-01 06:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-01 07:00:00,IY-015,261,261,1.0,2.0,771.4409937888199
0,2023-11-01 08:00:00,IY-015,282,282,1.0,2.0,771.4409937888199
0,2023-11-01 09:00:00,IY-015,270,270,1.0,2.0,771.4409937888199
0,2023-11-01 10:00:00,IY-015,262,262,1.0,2.0,771.4409937888199
0,2023-11-01 11:00:00,IY-015,250,250,1.0,2.0,771.4409937888199
0,2023-11-01 12:00:00,IY-015,249,249,1.0,2.0,771.4409937888199
0,2023-11-01 13:00:00,IY-015,251,251,1.0,2.0,771.4409937888199
0,2023-11-01 14:00:00,IY-015,240,240,1.0,2.0,771.4409937888199
0,2023-11-01 15:00:00,IY-015,225,225,1.0,2.0,771.4409937888199
0,2023-11-01 16:00:00,IY-015,218,218,1.0,2.0,771.4409937888199
0,2023-11-01 17:00:00,IY-015,216,216,1.0,2.0,771.4409937888199
0,2023-11-01 18:00:00,IY-015,211,211,1.0,2.0,771.4409937888199
0,2023-11-01 19:00:00,IY-015,190,190,1.0,2.0,771.4409937888199
0,2023-11-01 20:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-01 21:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-01 22:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-01 23:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-02 00:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-02 01:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-02 02:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-02 03:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-02 04:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-02 05:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-02 06:00:00,IY-015,0,0,,1.0,385.72049689440996
0,2023-11-02 07:00:00,IY-015,261,261,1.0,2.0,771.4409937888199
107,2023-11-02 08:00:00,IY-015,282,175,0.6205673758865248,1.62,624.8672049689442
