watt_hours,Time,Alias,max_Wh_at_time,wasted_energy,ratio_of_waste,charge_multiplier,forecasted_charge
4,2024-03-25 10:00:00,LEP-004,20,16,0.8,1.8,360.86727272727273
4,2024-03-25 11:00:00,LEP-004,19,15,0.7894736842105263,1.79,358.8624545454545
4,2024-03-25 12:00:00,LEP-004,19,15,0.7894736842105263,1.79,358.8624545454545
4,2024-03-25 13:00:00,LEP-004,18,14,0.7777777777777778,1.78,356.85763636363635
7,2024-03-25 14:00:00,LEP-004,16,9,0.5625,1.56,312.75163636363635
9,2024-03-25 15:00:00,LEP-004,18,9,0.5,1.5,300.72272727272724
10,2024-03-25 16:00:00,LEP-004,17,7,0.4117647058823529,1.41,282.6793636363636
8,2024-03-25 17:00:00,LEP-004,15,7,0.4666666666666667,1.47,294.7082727272727
4,2024-03-25 18:00:00,LEP-004,18,14,0.7777777777777778,1.78,356.85763636363635
11,2024-03-25 19:00:00,LEP-004,26,15,0.5769230769230769,1.58,316.76127272727274
21,2024-03-25 20:00:00,LEP-004,0,0,,1.0,200.48181818181817
26,2024-03-25 21:00:00,LEP-004,0,0,,1.0,200.48181818181817
20,2024-03-25 22:00:00,LEP-004,0,0,,1.0,200.48181818181817
19,2024-03-25 23:00:00,LEP-004,0,0,,1.0,200.48181818181817
16,2024-03-26 00:00:00,LEP-004,0,0,,1.0,200.48181818181817
15,2024-03-26 01:00:00,LEP-004,0,0,,1.0,200.48181818181817
14,2024-03-26 02:00:00,LEP-004,0,0,,1.0,200.48181818181817
15,2024-03-26 03:00:00,LEP-004,0,0,,1.0,200.48181818181817
31,2024-03-26 04:00:00,LEP-004,0,0,,1.0,200.48181818181817
26,2024-03-26 05:00:00,LEP-004,0,0,,1.0,200.48181818181817
26,2024-03-26 06:00:00,LEP-004,0,0,,1.0,200.48181818181817
18,2024-03-26 07:00:00,LEP-004,34,16,0.4705882352941176,1.47,294.7082727272727
10,2024-03-26 08:00:00,LEP-004,18,8,0.4444444444444444,1.44,288.69381818181813
6,2024-03-26 09:00:00,LEP-004,15,9,0.6,1.6,320.7709090909091
3,2024-03-26 10:00:00,LEP-004,20,17,0.85,1.85,370.8913636363636
2,2024-03-26 11:00:00,LEP-004,19,17,0.8947368421052632,1.89,378.91063636363634
2,2024-03-26 12:00:00,LEP-004,19,17,0.8947368421052632,1.89,378.91063636363634
2,2024-03-26 13:00:00,LEP-004,18,16,0.8888888888888888,1.89,378.91063636363634
2,2024-03-26 14:00:00,LEP-004,16,14,0.875,1.88,376.9058181818181
1,2024-03-26 15:00:00,LEP-004,18,17,0.9444444444444444,1.94,388.93472727272723
1,2024-03-26 16:00:00,LEP-004,17,16,0.9411764705882352,1.94,388.93472727272723
1,2024-03-26 17:00:00,LEP-004,15,14,0.9333333333333332,1.93,386.92990909090906
4,2024-03-26 18:00:00,LEP-004,18,14,0.7777777777777778,1.78,356.85763636363635
