watt_hours,Time,Alias,max_Wh_at_time,wasted_energy,ratio_of_waste,charge_multiplier,forecasted_charge
2.0,2023-09-03 14:00:00,PA-002,939.0,937.0,0.9978700745473909,2.0,2053.512
2.0,2023-09-03 15:00:00,PA-002,582.0,580.0,0.9965635738831616,2.0,2053.512
2.0,2023-09-03 16:00:00,PA-002,434.0,432.0,0.9953917050691244,2.0,2053.512
2.0,2023-09-03 17:00:00,PA-002,409.0,407.0,0.9951100244498776,2.0,2053.512
2.0,2023-09-03 18:00:00,PA-002,284.0,282.0,0.9929577464788732,1.99,2043.2444400000002
2.0,2023-09-03 19:00:00,PA-002,278.0,276.0,0.9928057553956836,1.99,2043.2444400000002
2.0,2023-09-03 20:00:00,PA-002,0.0,0.0,,1.0,1026.756
2.0,2023-09-03 21:00:00,PA-002,0.0,0.0,,1.0,1026.756
2.0,2023-09-03 22:00:00,PA-002,0.0,0.0,,1.0,1026.756
2.0,2023-09-03 23:00:00,PA-002,0.0,0.0,,1.0,1026.756
2.0,2023-09-04 00:00:00,PA-002,0.0,0.0,,1.0,1026.756
2.0,2023-09-04 01:00:00,PA-002,0.0,0.0,,1.0,1026.756
2.0,2023-09-04 02:00:00,PA-002,0.0,0.0,,1.0,1026.756
2.0,2023-09-04 03:00:00,PA-002,0.0,0.0,,1.0,1026.756
2.0,2023-09-04 04:00:00,PA-002,0.0,0.0,,1.0,1026.756
2.0,2023-09-04 05:00:00,PA-002,0.0,0.0,,1.0,1026.756
2.0,2023-09-04 06:00:00,PA-002,0.0,0.0,,1.0,1026.756
2.0,2023-09-04 07:00:00,PA-002,330.0,328.0,0.993939393939394,1.99,2043.2444400000002
2.0,2023-09-04 08:00:00,PA-002,328.0,326.0,0.9939024390243902,1.99,2043.2444400000002
8.0,2023-09-04 09:00:00,PA-002,295.0,287.0,0.9728813559322034,1.97,2022.7093200000002
12.0,2023-09-04 10:00:00,PA-002,307.0,295.0,0.9609120521172638,1.96,2012.4417600000002
11.0,2023-09-04 11:00:00,PA-002,355.0,344.0,0.9690140845070424,1.97,2022.7093200000002
11.0,2023-09-04 12:00:00,PA-002,381.0,370.0,0.9711286089238844,1.97,2022.7093200000002
11.0,2023-09-04 13:00:00,PA-002,459.0,448.0,0.9760348583877996,1.98,2032.9768800000002
102.0,2023-09-04 14:00:00,PA-002,939.0,837.0,0.8913738019169329,1.89,1940.5688400000001
114.0,2023-09-04 15:00:00,PA-002,582.0,468.0,0.8041237113402062,1.8,1848.1608
109.0,2023-09-04 16:00:00,PA-002,434.0,325.0,0.7488479262672811,1.75,1796.823
105.0,2023-09-04 17:00:00,PA-002,409.0,304.0,0.7432762836185819,1.74,1786.55544
101.0,2023-09-04 18:00:00,PA-002,284.0,183.0,0.6443661971830986,1.64,1683.87984
97.0,2023-09-04 19:00:00,PA-002,278.0,181.0,0.6510791366906474,1.65,1694.1474
94.0,2023-09-04 20:00:00,PA-002,0.0,0.0,,1.0,1026.756
91.0,2023-09-04 21:00:00,PA-002,0.0,0.0,,1.0,1026.756
117.0,2023-09-04 22:00:00,PA-002,0.0,0.0,,1.0,1026.756
52.0,2023-09-04 23:00:00,PA-002,0.0,0.0,,1.0,1026.756
53.0,2023-09-05 00:00:00,PA-002,0.0,0.0,,1.0,1026.756
64.0,2023-09-05 01:00:00,PA-002,0.0,0.0,,1.0,1026.756
110.0,2023-09-05 02:00:00,PA-002,0.0,0.0,,1.0,1026.756
118.0,2023-09-05 03:00:00,PA-002,0.0,0.0,,1.0,1026.756
114.0,2023-09-05 04:00:00,PA-002,0.0,0.0,,1.0,1026.756
104.0,2023-09-05 05:00:00,PA-002,0.0,0.0,,1.0,1026.756
89.0,2023-09-05 06:00:00,PA-002,0.0,0.0,,1.0,1026.756
122.0,2023-09-05 07:00:00,PA-002,330.0,208.0,0.6303030303030303,1.63,1673.61228
139.0,2023-09-05 08:00:00,PA-002,328.0,189.0,0.5762195121951219,1.58,1622.2744800000003
142.0,2023-09-05 09:00:00,PA-002,295.0,153.0,0.5186440677966102,1.52,1560.6691200000002
93.0,2023-09-05 10:00:00,PA-002,307.0,214.0,0.6970684039087948,1.7,1745.4852
84.0,2023-09-05 11:00:00,PA-002,355.0,271.0,0.7633802816901408,1.76,1807.09056
5.0,2023-09-05 12:00:00,PA-002,381.0,376.0,0.9868766404199476,1.99,2043.2444400000002
