watt_hours,Time,Alias,max_Wh_at_time,wasted_energy,ratio_of_waste,charge_multiplier,forecasted_charge
0.0,2023-09-03 18:00:00,PA-005,522.0,522.0,1.0,2.0,1654.1615384615384
0.0,2023-09-03 19:00:00,PA-005,285.0,285.0,1.0,2.0,1654.1615384615384
0.0,2023-09-03 20:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-03 21:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-03 22:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-03 23:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-04 00:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-04 01:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-04 02:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-04 03:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-04 04:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-04 05:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-04 06:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-04 07:00:00,PA-005,155.0,155.0,1.0,2.0,1654.1615384615384
0.0,2023-09-04 08:00:00,PA-005,256.0,256.0,1.0,2.0,1654.1615384615384
0.0,2023-09-04 09:00:00,PA-005,289.0,289.0,1.0,2.0,1654.1615384615384
0.0,2023-09-04 10:00:00,PA-005,702.0,702.0,1.0,2.0,1654.1615384615384
0.0,2023-09-04 11:00:00,PA-005,305.0,305.0,1.0,2.0,1654.1615384615384
0.0,2023-09-04 12:00:00,PA-005,354.0,354.0,1.0,2.0,1654.1615384615384
0.0,2023-09-04 13:00:00,PA-005,350.0,350.0,1.0,2.0,1654.1615384615384
0.0,2023-09-04 14:00:00,PA-005,334.0,334.0,1.0,2.0,1654.1615384615384
1.0,2023-09-04 15:00:00,PA-005,312.0,311.0,0.9967948717948718,2.0,1654.1615384615384
1.0,2023-09-04 16:00:00,PA-005,306.0,305.0,0.9967320261437908,2.0,1654.1615384615384
0.0,2023-09-04 17:00:00,PA-005,306.0,306.0,1.0,2.0,1654.1615384615384
0.0,2023-09-04 18:00:00,PA-005,522.0,522.0,1.0,2.0,1654.1615384615384
0.0,2023-09-04 19:00:00,PA-005,285.0,285.0,1.0,2.0,1654.1615384615384
0.0,2023-09-04 20:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-04 21:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-04 22:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-04 23:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-05 00:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-05 01:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-05 03:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-05 04:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-05 05:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-05 06:00:00,PA-005,0.0,0.0,,1.0,827.0807692307692
0.0,2023-09-05 07:00:00,PA-005,155.0,155.0,1.0,2.0,1654.1615384615384
0.0,2023-09-05 08:00:00,PA-005,256.0,256.0,1.0,2.0,1654.1615384615384
0.0,2023-09-05 09:00:00,PA-005,289.0,289.0,1.0,2.0,1654.1615384615384
