Alias,Village,Transaction Date,Package Name,Rate (flat),Rate (per kWh),Transaction Type,Amount,Currency,Remaining Balance,Daily Consumption
IY-001,PAM - Ikoyi,2023-10-12 14:18:00,,,,PAYMENT,2000.0,NGN,2000.0,
IY-001,PAM - Ikoyi,2023-10-12 23:59:00,XL package,,1000.0,CHARGE,170.0,NGN,1830.0,340.0
IY-001,PAM - Ikoyi,2023-10-13 23:59:00,XL package,,1000.0,CHARGE,170.0,NGN,1660.0,340.0
IY-001,PAM - Ikoyi,2023-10-14 23:59:00,XL package,,1000.0,CHARGE,621.5,NGN,1038.5,1243.0
IY-001,PAM - Ikoyi,2023-10-15 10:59:00,,,,PAYMENT,2000.0,NGN,3038.5,
IY-001,PAM - Ikoyi,2023-10-15 23:59:00,XL package,,1000.0,CHARGE,751.0,NGN,2287.5,1502.0
IY-001,PAM - Ikoyi,2023-10-16 19:30:00,,,,PAYMENT,2000.0,NGN,4287.5,
IY-001,PAM - Ikoyi,2023-10-16 23:59:00,XL package,,1000.0,CHARGE,493.0,NGN,3794.5,986.0
IY-001,PAM - Ikoyi,2023-10-17 23:59:00,XL package,,1000.0,CHARGE,32.0,NGN,3762.5,64.0
IY-001,PAM - Ikoyi,2023-10-18 23:59:00,XL package,,1000.0,CHARGE,9.5,NGN,3753.0,19.0
IY-001,PAM - Ikoyi,2023-10-19 15:20:00,,,,PAYMENT,1700.0,NGN,5453.0,
IY-001,PAM - Ikoyi,2023-10-19 23:59:00,XL package,,1000.0,CHARGE,286.5,NGN,5166.5,573.0
IY-001,PAM - Ikoyi,2023-10-20 23:59:00,XL package,,1000.0,CHARGE,760.0,NGN,4406.5,1520.0
IY-001,PAM - Ikoyi,2023-10-21 11:59:00,,,,PAYMENT,1000.0,NGN,5406.5,
IY-001,PAM - Ikoyi,2023-10-21 23:59:00,XL package,,1000.0,CHARGE,640.0,NGN,4766.5,1280.0
IY-001,PAM - Ikoyi,2023-10-22 23:59:00,XL package,,1000.0,CHARGE,735.5,NGN,4031.0,1471.0
IY-001,PAM - Ikoyi,2023-10-23 08:39:00,,,,PAYMENT,1000.0,NGN,5031.0,
IY-001,PAM - Ikoyi,2023-10-23 23:59:00,XL package,,1000.0,CHARGE,1178.5,NGN,3852.5,2357.0
IY-001,PAM - Ikoyi,2023-10-24 23:59:00,XL package,,1000.0,CHARGE,746.0,NGN,3106.5,1492.0
IY-001,PAM - Ikoyi,2023-10-25 18:50:00,,,,PAYMENT,3000.0,NGN,6106.5,6000.0
IY-001,PAM - Ikoyi,2023-10-25 23:59:00,XL package,,1000.0,CHARGE,708.0,NGN,5398.5,1416.0
IY-001,PAM - Ikoyi,2023-10-26 19:59:00,,,,PAYMENT,3000.0,NGN,8398.5,
IY-001,PAM - Ikoyi,2023-10-26 23:59:00,XL package,,1000.0,CHARGE,875.0,NGN,7523.5,1750.0
IY-001,PAM - Ikoyi,2023-10-27 23:59:00,XL package,,1000.0,CHARGE,452.0,NGN,7071.5,904.0
IY-001,PAM - Ikoyi,2023-10-28 23:59:00,XL package,,1000.0,CHARGE,230.5,NGN,6841.0,461.0
IY-001,PAM - Ikoyi,2023-10-29 23:59:00,XL package,,1000.0,CHARGE,739.5,NGN,6101.5,1479.0
IY-001,PAM - Ikoyi,2023-10-30 23:59:00,XL package,,1000.0,CHARGE,527.0,NGN,5574.5,1054.0
IY-001,PAM - Ikoyi,2023-10-31 23:59:00,XL package,,1000.0,CHARGE,351.0,NGN,5223.5,702.0
IY-001,PAM - Ikoyi,2023-11-01 23:59:00,XL package,,1000.0,CHARGE,595.5,NGN,4628.0,
IY-001,PAM - Ikoyi,2023-11-02 23:59:00,XL package,,1000.0,CHARGE,746.0,NGN,3882.0,
IY-001,PAM - Ikoyi,2023-11-03 23:59:00,XL package,,1000.0,CHARGE,715.5,NGN,3166.5,
IY-001,PAM - Ikoyi,2023-11-04 23:59:00,XL package,,1000.0,CHARGE,679.0,NGN,2487.5,
IY-001,PAM - Ikoyi,2023-11-05 23:59:00,XL package,,1000.0,CHARGE,923.5,NGN,1564.0,
IY-001,PAM - Ikoyi,2023-11-06 17:02:00,,,,PAYMENT,2000.0,NGN,3564.0,
IY-001,PAM - Ikoyi,2023-11-06 23:59:00,XL package,,1000.0,CHARGE,564.0,NGN,3000.0,
IY-001,PAM - Ikoyi,2023-11-07 23:59:00,XL package,,1000.0,CHARGE,571.0,NGN,2429.0,
